"locationID","ancientcity","ancientregion","country","lat","longi"
"90UB4HZ6MA","Vaison","France","France",44.24189503,5.068682136
"08OW6Y07E1","Carini","Italy","Italy",38.15814419,13.17412313
"K7R3UK50XO","Caere - Cerveteri - Centocelle","Etruria","Italy",42.091179,11.79681
"PR68620862","Saqqara","Egypt","Egypt",29.871111,31.216389
"5JUL0L4TSX","Nevers","Gaul","France",47.08333333,3.5
"W1DV3UVSQU","Bologna","Italy","Italy",44.4945737,11.3455467
"5LQ82Y58QP","Seleucia","Pisidia","Turkey",37.9,30.6179
"3HOW7IAZPS","Oloron","France","France",43.18801197,-0.61636078
"C5WWLL305C","Artaz - Mardistan - Erzurum (approx)","Armenia","Turkey",39.908611,41.276944
"V7CHWLJ0TT","Heraclea","Thracia Prima","Turkey",40.97083333,27.95444444
"866CQOZSUL","Agen","Gaul","France",44.204908,0.62001
"QI5PBB3DUP","Saint-Gildas de Rhuys","(blank)","France",47.4999,-2.83961
"P6BUAAOSWI","Nea Paphos/Paphos/Baphpho","(blank)","Cyprus",34.757212,32.406593
"OO0PXU6BB3","Trier","Germany","Germany",49.7533,6.6433
"NIL30R303Q","Sohag","Egypt","Algeria",26.534559,1.646886
"C4OL4NGVQS","Elusa","Palaestina Tertia","Israel",31.09722222,34.6525
"42P5A8KIPL","Aventicum","Switzerland","Switzerland",46.88797822,7.049
"WMD5EWZQZ4","Vergi","Spain","Spain",36.84689785,-2.9495625
"3DUQY6GKKM","Emmaus/Nicopolis","(blank)","Palestinian Territory",31.839295,34.989428
"F9KGJL0CJG","Senaparia","(blank)","France",47.106082,1.102094
"HIWGI1UOK3","Bellunum - Belluno","Venetia et Histria","Italy",46.140031,12.217395
"UAGP2VTFW4","Cremona","Italy","Italy",45.13333333,10.03333333
"GVRFFF1R5Z","Bodbe","Georgia","Georgia",41.60666667,45.93333333
"BS2KGT51AJ","Herakleopolis Mikra/Sethroe/Heracleus","(blank)","Egypt",30.982139,32.167572
"2C77OQGN4P","Ebora - Évora - Liberalitas Iulia Ebora","Lusitania","Portugal",38.5717285,-7.9084865
"CLWMISBA4V","Populonia","Italy","Italy",42.99014154,10.49153031
"M192U24DU3","Furni","Proconsular Africa","Tunisia",36.11194444,9.28555556
"7XGT8B3Y8V","Sisan","Syria","Turkey",37.45,35.80694444
"IPMTPJRXV3","Placentia - Piacenza - Semiplacentinus","Aemilia","Italy",45.0525855,9.6976645
"MGSZGN9H8B","Domitiopolis","Asia Minor","Turkey",36.75083333,32.75388889
"RL5TSVYKEU","Tara - Court of Tara","Ireland","Ireland",53.5775,-6.61194444
"DGH49XEX0O","Foro Flaminii","Italy","Italy",42.98266119,12.72299114
"MRHVWLL8MN","Kerkuk","Beit-Slokh","Iraq",35.468099,44.3953
"RSYN8V8Y0T","Asyut","Egypt","Egypt",27.183333,31.166667
"4XMCSSAAHJ","Sipontum - Siponto","Apulia et Calabria","Italy",41.60764915,15.89285425
"FYCAD331I2","Mariana - La Canonica","Corsica","France",42.5391479855,9.49566571946
"X90CR3BSE7","Glandèves","France","France",43.95063446,6.812149949
"6F8OM96QBO","Mount Jrabashkh","Armenia","Turkey",39.721666,43.056666
"IOTW8WJZJ3","Dara/Anastasioupolis","(blank)","Turkey",37.1783845,40.948011
"HS5SQWUUUW","Bennefa","Tunisia","Tunisia",34.74451386,10.75931335
"Z10CHY8LU4","Egara - Tarrasa - Municipium Flavium Egara","Hispania Citerior","Spain",41.560997,2.010425
"XP89SKZ8HP","Auvergne","Gaul","France",45.482,5.37437
"YX2QCVQ6SI","Città di Castello","Italy","Italy",43.45684326,12.23758396
"FR6F4VFSWX","Thamugadi - Timgad - Thamugada - Colonia Marciana Ulpia Traiana Thamugadi","Numidia","Algeria",35.4852165,6.4682225
"UA16B9F0XD","Tekor, Digor","(blank)","Georgia",43.41544,40.37154
"XKBOF39CI9","Forum claudii","Italy","Italy",41.18861513,13.97690531
"U6KX893BWE","Riez","Gaul","France",43.81888889,6.09361111
"KT7V3TO5NC","Thurio","Italy","Italy",39.59424852,16.51980714
"OA2YDYYZ2J","Maastricht","(blank)","Netherlands",50.85,5.683333
"B8V7FAKUL0","Palencia","Spain","Spain",42.01666667,-4.53333333
"B5F0AIF1E4","Nepi and Sutri","Italy","Italy",42.28333333,12.4
"2DBKUW1X0J","Sabrata","Tripolitania","Libya",32.8053014,12.48430055
"PICLCJF4NQ","Beth Nuhadra","Mesopotamia","Iraq",36.137778,43.406389
"0NENHHZ1TX","Tréguier","(blank)","France",48.78778,-3.23079
"3V1QVXA4C8","Verria","Macedonia","Greece",40.51978533,22.20468896
"JIVVG2TRRF","Suindunum - Le Mans - Ouindinon - Vindunum","Lugdunensis","France",48.0071603333,0.198493333333
"T49N40UWEB","Noiodounon - Sées - Civitas Sagiensis","Lugdunensis","France",48.6060945,0.1727125
"ZM55ZCF3T4","Arabissus","Cappadocia","Turkey",38.24379,36.917271
"MF9XATHN5Q","Perinthus/Perinthos/Heraclea","(blank)","Turkey",40.971013,27.952973
"26EYMHB6FG","Diocletianopolis","Thrace","Bulgaria",42.5,24.7
"61SCV7V8ZQ","Capsa","NAfrica","Tunisia",34.4200935,8.78662
"5RTNEVYU7A","Nitria","Egypt","Egypt",30.94101941,30.38494135
"N9PJ2GZVYI","Angers - Iuliomagus - Civitas Andecavorum","Lugdunensis","France",47.469175,-0.549081
"GNS4NLQRT7","Telese o Cerreto Sannita","Italy","Italy",41.2825,14.555
"PK23C1ZAE6","Ephesus","Anatolia","Turkey",37.9407625,27.340307
"JEWHRJH66R","Nemea","Pelloponese","Greece",37.80864,22.710592
"6JT8UE419V","Romanum mon","(blank)","Switzerland",46.69348,6.46138
"S34GWX1R7I","Civitas Auriensis - Orense - Auria","Hispania Citerior","Spain",42.340013,-7.864602
"WLJ9B4IB5P","Euroea","Greece","Greece",39.335898,20.607289
"FLEX9YZPX7","Aulane","(blank)","France",42.88900948,1.54449416
"8KNJ94299Z","Bosa","Sardinia","Italy",40.299242,8.498154
"MVXSE031AV","Vich","Tarragona","Spain",41.930228,2.254313
"R5WQ8TIELC","Ravenna","Italy","Italy",44.415718,12.196604
"ITZGQI6KE0","Arcae","Tyre","Lebanon",34.533092,36.0428025
"GY7I372MX9","Bagrevand","Turkey","Turkey",39.7981,42.6744
"7XM18SNC6W","Anicium - Le Puy-en-Velay - Mons Anicius","Aquitania","France",45.044535,3.885005
"GY9G3S0NYJ","Brindisi","Apulia","Italy",40.638663,17.9429115
"Q710YHVFM9","Thespia","Greece","Greece",38.29424241,23.15136849
"W2BH5XNSFK","Faleri","Italy","Italy",42.30056447,12.35590531
"48PJYDCI0I","Lactora - Lectoure","Aquitania","France",43.933383,0.620535
"WA8TYFDG4K","Avila - Obila","Lusitania","Spain",40.655816,-4.700573
"6DIZ4L932C","Tenedo","Gaul","Switzerland",47.588186,8.29261
"77GXHX3CJL","Poitiers","Gaul","France",46.58333333,0.33333333
"C59Y08M7BC","the Fayyum","Egypt","Egypt",29.308374,30.844105
"9S79LOGLSM","Belqas","Egypt","Egypt",31.233333,31.366667
"YIHARRDJ55","Harpasa","Caria","Turkey",37.80583333,28.34833333
"W7ZZ2WJRB7","Samaria","Palestine","Palestinian Territory",32.25972222,35.195
"3U0ZFD2VYP","Pauliacum","(blank)","France",43.240756,1.797907
"3E699XP8EC","Basel","Switzerland","Switzerland",47.2083114,7.538926771
"69U3XMFTFQ","Arbayestan/Beth Arbaye","(blank)","Iraq",36.5,41.5
"UNWLAJCFTG","Ofena","Italy","Italy",42.28136903,13.77194327
"IDG471CY1Y","Cilicia ","Turkey","Lebanon",33.89325397,35.50752495
"ATC26J24SO","Teano","Italy","Italy",41.25071979,14.06572667
"JXJMJN4KPI","Molosmes","(blank)","France",47.88747,4.04344
"RVTQU2JE9Z","Tabenna - Tabennisi - Tafnis","Egypt","Egypt",26.05972222,32.3
"DMFW48DC2M","Taranto","Italy","Italy",40.47609256,17.22899813
"Q5BJ55VPGR","Kokousos","(blank)","Turkey",38.031581,36.4983445
"U98B32Q9TZ","Achyraus","Turkey","Turkey",40.38081728,27.89023603
"UMENH1RBZS","Omboi/Ombos","(blank)","Egypt",24.45205278,32.92824444
"F56RNBYU70","","Khorasan province","Turkmenistan",36,62
"QH5WPFRLRP","Iustiniana Prima","(blank)","Serbia",42.960472,21.660388
"07FFYF6NWH","Locoteiacus","(blank)","France",46.517359,0.330444
"QXY0FMK5I5","Wadi Mukellik","Palestine","Palestinian Territory",31.7775,35.4278
"3DFMBJLYZP","Nilopolis","Oxyrynchos","Egypt",28.53111111,30.64694444
"HND73BEAYS","Patrasso","Greece","Greece",38.25593134,21.73298968
"ZZ01F8GK80","Saint-Mars-Chamalières","(blank)","France",45.77681,3.06788
"QNVBOCEDAN","Galloway","Scotland","United Kingdom",55.05,-4.13333333
"QZYPNCPD4F","Ascoli-Piceno","Italy","Italy",42.855397,13.574951
"Q1T0V8EPJ4","Forum Iulii - Fréjus - Forum Iulii Pacatum","Narbonensis","France",43.4328295,6.7360345
"N12BR5C2ZD","Tongeren","Belgium","Belgium",50.78098888,5.464051771
"AB8X0M3UJQ","","Lebanon","Lebanon",33.833333,35.833333
"S3UKR7FJ62","Tindari","Italy","Italy",38.14141533,15.04678406
"9LGY8JWI2M","Augustopolis","Palaestina Tertia","Jordan",30.332089,35.595901
"XEXD54YSKG","Acaunum","(blank)","Switzerland",46.218462,7.0039815
"YW3SB6IAH8","Cosedia - Coutances","Lugdunensis","France",49.0481625,-1.444318
"PN8EHJ3RD3","Trani","Italy","Italy",41.28235278,16.41808021
"EUSY4OQRRP","Amelia","Umbria","Italy",42.55,12.41666667
"T1HK8UWLY8","Euchaita","(blank)","Turkey",40.572478,35.28003
"7GUCFQM3A7","Turba - Tarbes","Aquitania","France",43.23314,0.074264
"2LI7Z7FAEU","Selles-sur-Cher","(blank)","France",47.27525,1.55431
"WG0FNXAQQN","Navelis","Gaul","France",43.725031,7.28351
"U18MXAHMX9","Byllis","Epirus Nova","Albania",40.54132268,19.73804172
"768PWQX3L2","Aquitaine","Gaul","France",44.83974,-0.57835
"1AJ195BM48","Madaura","Numidia","Algeria",36.07666667,7.82
"RBUBJ6T9H8","Trajanopolis","Phrygia Pacatiana","Turkey",38.68611111,29.54694444
"XFYLYNZW64","Nebbio","France","France",42.68009525,9.310975051
"MCX30XEPCF","Andronpolis","Egypt","Egypt",30.778076,30.626467
"AKPBXM7883","Montcel","(blank)","France",46.01392,3.06558
"IT94312FET","Ptolemais Hermeiou/Psoi","Egypt","Egypt",29.206382,30.968603
"QT5PB7QM1D","Pisaurum - Pesaro - Colonia Iulia Felix Pisaurum","Umbria","Italy",43.912081,12.91577
"S0CYRS4M07","Anazarbus","Cilicia","Turkey",37.25250333,35.903735
"BL8J2ACDN3","Sitai/Siai/Siteon Chiphas","(blank)","Turkey",37.864169,40.989421
"77J50N06U4","Hermopolis Mikra","(blank)","Egypt",31.033655,30.4707825
"U2GDH5A2NO","","Spain - Hispania","Spain",42.5,-7.5
"OSJ7FFM9XJ","Kotayk province","Armenia","Armenia",40.140427,44.818512
"FMPEIFYVX4","Mutina - Modena","Aemilia","Italy",44.647057,10.925223
"G5FPI64QNE","Assur","Proconsular Africa","Iraq",35.45392153,43.26224278
"4BN7KCVEJJ","Germanicopolis","Asia Minor","Turkey",36.63888889,32.8925
"TLOFZJMSXL","Cordova","Spain","Spain",37.88444444,-4.77944444
"YV1AOEDYKN","Ticinum (Pavia)","Provinzia Pavia","Italy",45.185899,9.156562
"KN14GXOGWO","Ascalon","Palestine","Israel",31.6659785,34.545947
"PEHF5T4C78","Parma - Colonia Iulia Augusta Parmensis - Ager Parmensis","Aemilia","Italy",44.801507,10.327967
"7Q35Z9YDRO","Thebeste","Numidia Cirtensis","Algeria",35.404174,8.1223145
"9AX5S0CNLV","Lampsacus","Mysia","Turkey",40.34666667,26.69916667
"0FBWW5BM36","Kerasous/Pharnakeia","(blank)","Turkey",40.919134,38.397931
"3QM2FD4ZUM","Tuy","Spain","Spain",42.048056,-8.644444
"6XER5IUHQL","Lucania","Italy","Italy",39.885,17.276944
"EL1MO06IJH","Mount Colzim","Egypt","Egypt",28.924712,32.348392
"FKYN2D1AML","Neapolis (Naples)","Neapolis (Naples)","Italy",40.839995,14.25287
"4EIA7OD5R9","Kynopolis/Sko/Euergetis/Canum","(blank)","Egypt",28.479495,30.782897
"7VGKUEB6XJ","Daodus","Thrace","Greece",40.76675213,22.50673528
"R05F7HB9UE","Amastris","Paphlagonia","Turkey",41.746969,32.385648
"3JOI7LT3HW","Gindarus","Syria Prima","Syria",36.39472222,36.68888889
"YBQ8SE4GWN","Elphin","Ireland","Ireland",53.85,-8.2
"M3LZ35N4H2","Orange","France","France",44.13810689,4.80688922
"UMQCD8INX3","Aléria","France","France",42.10473364,9.511567864
"9V1T8F793Y","Nemausus","Gaul","France",43.886486,4.300123
"QA93LCLNSF","Sisteron","France","France",44.19589903,5.943232034
"Q94ER418PN","Trajanopolis","Rhodope","Greece",40.86666667,26.03333333
"KCSQ2MEG5W","Gabala","Syria","Syria",35.35,35.91666667
"V7RZPC2H8L","Gap - Vapincum","Narbonensis II","France",44.559876,6.075897
"LODTR2KP8X","Lyon","Gaul","France",45.76666667,4.83333333
"BTUQIPUNDQ","Ourense","Spain","Spain",42.33662387,-7.863708958
"MTCB99OK6W","Nocera","Perugia","Italy",43.07,12.6175
"58PT09OWK1","Chersonesus","Crete","Greece",35.319165,25.388567
"PRC4OH4207","Attuda","Phrygia Pacatiana","Turkey",37.83904733,28.80687867
"2QCTEF4XMQ","Cyrene","(blank)","Libya",32.919182,21.631788
"EMX0MNBBYT","","Greece - Hellas","Greece",37.5,22.5
"8SWR6X1W27","Septempeda","Italy","Italy",43.22878522,13.1756124
"L2GJOQVVH7","Compostela","Spain","Spain",42.87777778,-8.54444444
"S5L1GN4M25","Lucas","(blank)","France",47.128771,0.998339
"ICA2P4Z93I","Cybistra","Cappadocia","Turkey",37.6625,34.22694444
"8O66APZWUR","Amida","Mesopotamia","Turkey",37.9122455,40.2334445
"836W7XSUBH","Patara","Lycia","Turkey",36.263699,29.315155
"OPCEN2USMA","Ostrakine","Egypt","Egypt",31.11593,33.430636
"7IAQKE7E61","Theodosiopolis","Thracia Prima","Turkey",40.907132,27.466995
"XQJ0NVMUI7","","Seleucia - Claudioseleucia - Seleucia Sidera","Turkey",37.8963206667,30.6212863333
"K19A5JFD60","Dea Augusta - Die - Dea Bocontiorum - Dea Augusta Vocontiorum","Narbonensis","France",44.752363,5.370412
"640NDONBTD","Mataghis","Azerbaijan","Azerbaijan",41.515278,46.878334
"NZOJ9TZP93","Cahors","Gaul","France",44.4491,1.43663
"J3H445GUBA","Falerone","Italy","Italy",43.10746132,13.47179104
"N1ALP208AF","Argentorate - Strasbourg - Koenigshoffen","Germania Superior","France",48.582416,7.747407
"8EWL72W2HB","Tiburnia","Austria","Austria",46.82025338,13.44830177
"AVEMA8D09H","Bethelia","Palestine","Palestinian Territory",31.53842,34.504387
"ONP1B5JMEQ","Rovigo","Italy","Italy",45.070278,11.790556
"NWF7Q6A9JH","Roselle","Italy","Italy",42.82157915,11.13860167
"AD966PIYPN","Canosa","Italy","Italy",41.22318758,16.06603568
"KPJ47JK4FR","Col. Baeterrae","Gallia","France",43.3416765,3.217941
"11IE60F605","Lugdunum","Gaul","France",45.755562,4.817466
"YM91QQHQFN","Remesiana","Serbia","Serbia",43.21805556,22.3075
"E7Y3I9M06G","Saint-Guénolé de Landévennec","(blank)","France",48.29062,-4.26665
"N2G14DGHJX","Hierocaesarea","Asia Minor","Turkey",38.7975,27.79194444
"SGLFXOPNHK","Tacapae","Tripolitana (Africa)","Tunisia",33.88333333,10.11666667
"YEPXMQP3LS","Antipyrgos","(blank)","Libya",32.076457,23.961371
"KIJZJXJ6BT","Ilerda - Lérida - Bergusitanus - Bergusia Ilergetum","Hispania Citerior","Spain",41.6159535,0.625938
"RN3NK78R5N","Suza","Persia","Iran",32.1887935,48.2537285
"4QMJGI3R4R","","Mysia","Turkey",40.5716429463,29.4802383483
"NE9ANBFI82","Babylon","(blank)","Iraq",32.53878346,44.42361764
"UDTUX3JPQ9","Cularo - Grenoble - Culabo - Gratianopolis","Narbonensis","France",45.19261,5.732072
"PFGYQ2GWPH","Amathous","Cyprus","Cyprus",34.712264,33.13708095
"GXIVREM4P9","Ajaccio","Gaul","France",41.92723,8.73462
"I4NW3I69SE","Capernaum","Palestine","Israel",32.881111,35.575
"EN8QUOIRB6","Sparta","Peloponnesus","Greece",37.08194444,22.42361111
"6TRVW8ZGFB","Cervia","Italy","Italy",44.26109501,12.34921969
"LIH73WGUMT","Pyrga","Cyprus","Cyprus",34.885875,33.435499
"ZR3L7V6EDD","Apollonia","Cyrenaica","Libya",32.89202977,21.95500154
"DHC4IN0VV1","Cocussus","Armenia","Turkey",38.02111111,36.49166667
"JY30I3SMAQ","Dion","Greece","Greece",40.17485,22.488682
"NZRYAEVQ30","Beth Govrin/Eleutheropolis","(blank)","Israel",31.614254,34.8910485
"12S3KJU1DI","Cnossus","Greece","Greece",35.29815232,25.16303454
"VJRV49J18S","Urbisaglia","Italy","Italy",43.19632061,13.37667677
"Z6G8DVY6N3","Nitrian desert","Egypt","Egypt",31.41666667,31.81666667
"XUT7UB390H","Ticelia","Libya Pentapolis","Libya",32.5,20.5
"5GOBMU8SZZ","Matilica - Matelica","Umbria","Italy",43.255092,13.011553
"S129BZRB39","Dardani - Dardanos - Dardania","Moesia Superior","Kosovo",42.5,20.5
"F9ZIBZ8HK4","Mairé-Levescault","(blank)","France",46.15446,0.08232
"3J0SCPZWOP","Nuceria Camellaria - Nocera Umbra","Umbria","Italy",43.113857,12.788349
"8MP172W9VG","Amman","Jordan","Jordan",31.949722,35.932778
"SUX8YV5ZV8","Capua","Italy","Italy",41.0860925,14.250207
"DTCH636CX2","Eporedia - Ivrea","Transpadana","Italy",45.466604,7.875942
"TOF7503ASO","Thugga","Numidia","Tunisia",36.422473,9.2188665
"GWJKVH96KZ","Aveia Vestina","Italy","Italy",42.29306646,13.48803031
"TXSRXE2E8O","Urci","Spain","Spain",37.24888154,-1.776844189
"9E1J43U4X4","Memphis","(blank)","Egypt",29.849491,31.255061
"94DWCOI4T1","Doliche","Commagene","Greece",40.0575,22.16666667
"SIKUJMV3QB","Cossium/Vasatis","(blank)","France",44.431514,-0.213375
"IA4DR3T2JU","Horreomargum","Serbia","Serbia",44.7377726,21.22539042
"8QU4KDGP8K","Girba","African Tripoli","Tunisia",33.874783,10.859558
"519V1ML1FZ","","Phoenicia - Phoenice - Phoinike Libanesia","Jordan",32.5,37.5
"YG77HL9JYI","Mytilene","Greece","Greece",39.10479566,26.55034332
"C2K23HVJXF","Île Barbe","Gaul","France",45.79787,4.83348
"EJQM2BEHC5","Ptolemais","Phoenice Parhalus","Israel",32.92128675,35.079835
"ZLFET24D9N","Dijon","Gaul","France",47.31666667,5.01666667
"OBS1KBRMRF","Pisae - Pisa - Ager Pisanus","Etruria","Italy",43.719417,10.400106
"1R1BNQQ50N","Saint-Senoch","(blank)","France",47.0465,0.96859
"LMJE5U22S1","Augusta","Cilicia","Turkey",37.245212,35.344087
"OE3YBN1T9A","","Aegyptus - Egypt","Egypt",31.201435,29.909773
"T26JK6WM1K","Sirmium","Pannonia","Serbia",44.966447,19.610106
"T7KXBX3OUK","Forum Novum - Vescovio","Samnium","Italy",42.32876,12.61368
"1XX1H2VZDD","Bevagna","Italy","Italy",42.93295782,12.60794823
"OON9Z6SQHC","Darioritum - Vannes","Lugdunensis","France",47.654797,-2.75957
"MA73IXIQ1Z","Chenoboskion","Egypt","Egypt",26.054855,32.308437
"87UN0D4YKO","Potama","Asia Minor","Turkey",39.686107,31.171128
"KCLGAFIH7K","Flaviopolis","Asia Minor","Turkey",40.81222222,32.165
"BFESVS7X73","Padua","Italy","Italy",45.409561,11.876975
"UN8W986MA1","Laodicea","Syria I","Syria",35.51892275,35.7766297
"PMJAFGIV9G","Zama","Numidia","Tunisia",36.1118585,9.285729
"Y3C8A8Z3ZN","Jerusalem","Palestine","Palestinian Territory",31.704306,35.207639
"QNN18F5OGO","Milan","Italy","Italy",45.355168,10.141892
"6KHDOUPZPE","Kartli","Georgia","Georgia",41.26666667,44.50277778
"LYHIGY0F7F","Tagrit","Mesoptamia","Iraq",34.6,43.68333333
"E2AMGW9H7V","Lutetia","Lugdunensis IV","France",48.8544055,2.346168
"EDCY4KP3RO","Amasea","Pontus","Turkey",40.66680835,35.82794385
"7ZRP27UHXC","Otricoli","Italy","Italy",42.4120407,12.46697828
"TNB4COGLKW","Perge - Perga","Pamphylia","Turkey",36.961389,30.853889
"4H61HOD318","Tiberias","Palaestina Secunda","Israel",32.781575,35.5421525
"8GPI0VZQCZ","Thasos","Macedonia","Greece",40.779818,24.7106185
"OVPZSYYYXU","Zeugma","Syria","Turkey",37.0530905,37.8733395
"OT2GMROUUD","Pergamum","Asia Minor","Turkey",39.13121333,27.18453033
"EDFSRM4UXV","Comana/Hierapolis/Chryse","(blank)","Turkey",38.33132524,36.32398484
"GVQQVO5UNN","Aparan","(blank)","Russia",44.3567,40.5934
"62R4TVW205","Schedia/Chaireon/Menelais?","(blank)","Egypt",31.13965,30.192032
"26N4O5SKZE","Photike","Epirus","Greece",39.482048,20.496254
"3AX1OG9615","Flavias","Cilicia Secunda","Turkey",37.36638889,36.10166667
"EM01MXJLKN","Beauvais","Gaul","France",49.4303,2.0952
